ID	Date	Review score	Review text	Sentiment	Label
Z3A6QU9xcFRPSHZJQk1leWFPNjFLSHVvalE4RnM1MGNLVDg2NkxKVVBwTF96bXlfSXVMNmo0R25kN2o4Ui1meGtqU0lkU3lzY0FuSUZUMWR2RVczc0pwV1E	May 2, 2016	5	Love the privacy setting it has.  Wish they came up with a browser like this but for desk top as well.	+	PP
Z3A6QU9xcFRPSHU2emFfLUlGUVp4dHBxREcyYlNLZUV6VTM2d1B0NTZIZXh3VjFZYnEyVFR4SHg2QmhHUHpRQTRYeTRBeUgyTkVLaGMwVm1BdjhzckxsRUE	February 8, 2016	5	It really fun but u have to wait until to go to land and u have to have permission to play	-	NR
Z3A6QU9xcFRPSHozdjNFVWxxNzFxcUJPb1dyNGRlQ051U0pTZTRNS1ZpYTZiVWY5aDd5Tkl1SVVGQ1lNN0dETXJLMFJOem1Ud0MwTkU0VkdyRDA3dmo4V2c	October 5, 2016	5	Best app to record all calls...fr my phone...both voices are clear and loud enough... Privacy, adding bookmarks, stopping while call, evrthng is awesome....	+	PP
Z3A6QU9xcFRPSHlBRHRrZkRya1JsLVNPZHI0ZWxzdVpSZXJhQTQ5RE1Zb3ZOWTJQeWVUTUV2WmU1M1FxTXhBMDNGTGlveGZaZndGNHdTUHNIUERTMmhWS0E	September 2, 2016	5	It does the job. I am privacy concious and appreciate that it uses a reasonable amount of permissions. Go Delta you get it.	+	MiP
Z3A6QU9xcFRPSHBaNGd6S3E3bWhqZ2RnOFBScl9PN01UTVU3ZVJyaHI5cTQ3OWlYMFU4MlA1V0tPdWJfWTFMR1pCcFZDRGVRZEdEcW93bmR4VnpuZ0JOblE	January 13, 2016	5	The privacy and consistency is on point. I have had fun using this app without worry.	+	PP
Z3A6QU9xcFRPSHB6djFHTlFCT0RaZnhMNkN0MUNkY2N6RDhuWFhZbVpGX05panRrSkFwdUNac0NvNEM1VzN6S25ZaUd0aVhub3RXM1pXUnFuWWRxLWEyNHc	July 13, 2016	5	This app gives me the security and privacy I need. I love it.	-	NR
Z3A6QU9xcFRPSHAzRnJzcndrMWFFZi1xWGxYZzhNdnZFMGRVajRlUUhPZlUyalYyUnJLdXh4WXd3eW05ckRVSl9kNDJsazg4aWtOQ0UtQXo5SUk5NkRMT0E	August 22, 2016	5	Works perfectly, NO special permissions needed, NO annoying ads and has all the features I was looking for. You need this in your life! I've tried a few like habitbull, 7 weeks and goal tracker. This one is my fave. Would love a widget that let's me see all my having and tick them off from my home screen. :)	+	MiP
Z3A6QU9xcFRPSGtlNHMzZWk4Sll0eHh0NVNldFllNGt5X18xdU12NmVwb0xrYmI0eGpoMEJxNE1OLVh1dHdyRE52cm5waTlib1N5aTNILWstZWZzSUxnOHc	April 10, 2016	5	Loved this app. Much better than those fake privacy apps.	+	PP
Z3A6QU9xcFRPSGRMdlJRQ3E4QTlFLTVRYlNUbzF4ME9vX0xvWVIwVFA2Um5FcUZ3dFRiRFdodGtYRUN3dUhIdlNuX2Y0RzJlUlJWTDhVUnlzcHM1d0RFVkE	January 10, 2016	5	Does what it says, simple but cute app. Even my partner loves it too! Gives us a lot of privacy that we needed. Love the mochi emojis btw. Keep up the great job! (:	+	PP
Z3A6QU9xcFRPSGpMLTdZNjBiclNvWGZMVkM1SVplLTRFbEM1eU5xU3BqeEVNSC1PRHhReWM5RVA0Zmkzc3FXamZDSUVmQjZ1MmZMRzVQbWdZVlJTd01mRnc	October 9, 2016	5	Doesn't want million permission to install. Does insist on wanting my credit card.	+	MiP
Z3A6QU9xcFRPSGpIU011d0JuVldSSy03QnpQa2xqaENRLUgtaXIzdWgxZjZxVEFpbFo5c2Z3eVNkNHBqUHJaVDdkanlfVFpheFVqcUhSd1R3NzZweWxxUkE	September 20, 2016	5	Simple to use nice designs only issue is that the app aparantly stores all information without your actual permission	-	PC, AWP
